price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model
41500,91000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2015.0,Grey, Dubai,GLS,mitsubishi,pajero
90000,130000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2013.0,White, Dubai,S 350,mercedes-benz,s-class
65000,93000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2016.0,Brown, Sharjah,Luxury,infiniti,q70
1348000,0,Perfect inside and out,Perfect inside and out,Dealer,Soft Top Convertible,10,Automatic Transmission,Other,600 - 700 HP,Gasoline,Left Hand Side,,White, Dubai,LP 610-4 Spyder,lamborghini,huracan
150000,0,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Manual Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021.0,Gold, Abu Dhabi,Safari MT,nissan,patrol
37000,199575,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2013.0,Silver, Dubai,Sport,ford,edge
650000,32000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,European Specs,700 - 800 HP,Gasoline,Left Hand Side,2020.0,White, Sharjah,S,mercedes-benz,gt
145000,0,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Manual Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2021.0,White, Dubai,Safari,nissan,patrol
72000,79000,Perfect inside and out,Perfect inside and out,Owner,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2018.0,White, Dubai,Other,toyota,previa
49000,158000,Perfect inside and out,Perfect inside and out,Owner,Coupe,6,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2015.0,Burgundy, Abu Dhabi,Standard V6,ford,mustang
51900,133079,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2018.0,Red, Dubai,S,nissan,kicks
219000,8800,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021.0,Red, Dubai,SS,chevrolet,camaro
245000,75000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2018.0,White, Dubai,VXR TOP,toyota,land-cruiser
240000,18000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2021.0,White, Dubai,Z71,chevrolet,tahoe
40000,115000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2013.0,Grey, Abu Dhabi,Other,toyota,aurion
13500,170865,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2009.0,Gold, Dubai,SE,nissan,tiida
